transicao_fase,alunos,queda_inde_percentual,delta_inde_medio,delta_ieg_medio,delta_ida_medio
FASE 2 → FASE 3,155,50.97,-0.19,-0.81,-1.05
FASE 2 → FASE 2,32,50.00,-0.10,-0.44,1.38
ALFA → ALFA,73,47.95,-0.13,0.41,0.02
FASE 3 → FASE 4,105,39.05,0.05,-0.19,-0.20
FASE 1 → FASE 2,162,36.42,0.00,-0.38,-0.50
FASE 4 → FASE 5,67,35.82,0.10,0.04,0.17
FASE 1 → FASE 1,49,34.69,0.25,-0.30,1.21
ALFA → FASE 1,101,32.67,-0.06,-0.18,-0.82
FASE 5 → FASE 5,24,25.00,0.31,0.17,0.68
FASE 5 → FASE 6,23,21.74,0.34,0.26,0.57
FASE 3 → FASE 3,34,17.65,0.26,-0.11,1.00
